country,-5,-4,-3,-2,-1,1,2,3,4,5,year_changes,mean_before,mean_after,razviv,targeting_inf
"Конго, Республика",3,0.5,0.8,3,1.7,3.7,2.5,4.7,2.6,6,2004,1.8,3.9,0,0
Коста Рика,10,11,11.3,9.2,9.4,12.3,13.8,11.5,9.4,13.4,2004,10.2,12.1,0,0
Кот д'Ивуар,0.7,2.5,4.4,3.1,3.3,1.5,3.9,2.5,1.9,6.3,2004,2.8,3.2,0,0
Кувейт,3.1,1.6,1.4,0.8,1,1.3,4.1,3.1,5.5,6.3,2004,1.6,4.0,0,0
Латвия,2.1,2.6,2.5,2,2.9,6.2,6.9,6.6,10.1,15.3,2004,2.4,9.0,0,0
Ливан,0.2,-0.4,-0.4,1.8,1.3,1.7,-0.7,5.6,4.1,10.8,2004,0.5,4.2,0,0
Ливия,2.6,-2.9,-8.8,-9.9,-2.1,1.3,2.7,1.5,6.2,10.4,2004,-4.3,4.4,0,0
Литва,1.4,1.1,1.5,0.3,-1.1,1.2,2.7,3.8,5.8,11.2,2004,0.6,4.9,0,0
Мавритус,6.9,4.2,5.4,6.4,3.9,4.7,4.9,8.9,8.8,9.7,2004,5.4,7.4,0,0
"Македония, БЮР",-1.3,6.6,5.2,2.3,1.1,-0.7,-0.6,3.3,2.8,7.2,2004,2.7,2.4,0,0
Малайзия,2.7,1.6,1.4,1.8,1.1,1.4,3,3.6,2,5.4,2004,1.7,3.1,0,0
Мальдивы,3,-1.2,0.7,0.9,-2.8,6.3,2.5,3.5,6.8,12,2004,0.1,6.2,0,0
Микронезия,1.9,1.8,1.3,-0.2,-0.2,1.7,4.1,4.4,3.6,6.6,2004,0.9,4.1,0,0
Монголия,7.6,11.6,6.3,0.9,5.1,7.9,12.5,4.5,8.2,26.8,2004,6.2,11.7,0,0
Намибия,9.4,10.2,10.2,12.7,7.2,4.1,2.3,5,6.5,9.1,2004,9.9,5.4,0,0
Нигерия,6.6,6.9,18.9,12.9,14,15,17.9,8.2,5.4,11.6,2004,11.8,11.5,0,0
Никарагуа,11.2,11.5,7.4,3.8,5.3,8.5,9.6,9.1,11.1,19.8,2004,7.8,11.5,0,0
ОАЭ,2.1,1.3,2.8,2.9,3.1,5,6.2,9.3,11.1,12.3,2004,2.4,8.7,0,0
Оман,0.5,-1.2,-0.8,-0.3,0.2,0.8,1.9,3.2,5.9,12.6,2004,-0.3,4.8,0,0
Пакистан,5.7,3.6,4.4,3.5,3.1,4.6,9.3,7.9,7.8,12,2004,4.1,8.3,0,0
Панама,1.3,1.4,0.3,1,0.1,0.5,2.9,2.5,4.2,8.8,2004,0.8,3.7,0,0
Парагвай,6.8,9,7.3,10.5,14.2,4.3,6.8,9.6,8.1,10.2,2004,9.5,7.8,0,0
Пуэрто Рико,0.7,3.1,0.6,0.2,1.4,2.5,5.6,5.2,4.2,5.2,2004,1.2,4.5,0,0
Россия,85.7,20.8,21.5,15.8,13.7,10.9,12.7,9.7,9,14.1,2004,29.1,11.3,0,0
Самоа,0.4,-0.2,1.9,12.9,-1.8,16.3,1.9,4.2,5.6,11.6,2004,2.5,7.8,0,0
Саудовская Аравия,-2.1,-1.1,-1.3,0.1,0.5,0.3,0.5,1.9,5,6.1,2004,-0.8,2.7,0,0
Свазиленд,6.1,12.2,5.9,12,7.3,3.4,1.8,5.2,8.1,12.7,2004,8.7,6.2,0,0
Сейшелы ,6.3,6.3,6,0.2,3.3,3.9,0.6,-1.9,5.3,37,2004,4.4,8.1,0,0
Сенегал,0.8,0.8,3.1,2.4,0,0.5,1.7,2.1,5.9,6.3,2004,1.4,3.3,0,0
Сент Винсент и Гренадины,1,0.2,1.4,0.7,0.1,2.9,3.4,3,7,10.1,2004,0.7,5.2,0,0
Сент Киттс и Невис,3.4,2.1,2.1,2.1,2.3,2.2,3.4,8.5,4.5,5.3,2004,2.4,4.8,0,0
Сент Льюис ,2.4,4.8,5.3,-0.3,1,1.5,3.9,3.6,2.8,5.5,2004,2.6,3.5,0,0
Сирия,-3.7,-3.9,3.4,-0.5,5.8,4.4,7.2,10.4,4.7,15.2,2004,0.1,8.3,0,0
Словения,6.1,8.9,8.4,7.5,5.6,3.6,2.5,2.4,3.6,5.7,2004,7.3,3.6,0,0
Суринам,60.5,29.6,34.4,15.5,23,9.1,14,10.6,6.1,14.6,2004,31.8,10.8,0,0
