resID	atmilitary	atreligion	ated	atprof	atinc	atrace	atage	atmale	selected	rating
645	2	2	6	3	1	4	3	2	1	0.8333333333333334
645	2	1	2	5	5	3	2	1	0	0.5
645	2	6	4	5	4	4	6	2	1	1
645	1	6	5	6	1	5	2	2	0	0.5
645	2	1	3	2	1	2	5	1	0	0.6666666666666666
645	1	6	1	6	5	3	4	1	1	0.5
645	2	6	1	6	5	2	1	2	1	0.6666666666666666
645	1	6	4	5	4	2	5	1	0	0.5
645	1	6	6	2	6	4	3	2	0	0.6666666666666666
645	2	6	5	1	5	3	5	2	1	0.5
727	2	3	3	3	4	6	2	2	1	0
727	1	5	2	2	6	5	5	2	0	0
727	2	2	4	1	1	5	6	2	1	0
727	2	4	1	3	6	6	5	1	0	0
727	1	2	6	2	3	1	1	1	0	0
727	1	4	5	1	3	2	3	2	1	0
727	1	1	6	6	5	6	5	1	0	0
727	2	6	6	5	4	1	3	1	1	0
727	1	5	4	5	2	6	2	1	1	0
727	1	6	2	3	1	2	6	1	0	0
833	1	2	1	4	6	3	3	1	0	0.6666666666666666
833	2	4	4	4	4	6	6	2	1	0.8333333333333334
833	1	4	5	5	5	1	1	2	0	0.3333333333333333
833	1	1	6	3	3	2	4	2	1	0.6666666666666666
833	2	5	1	1	4	6	5	1	0	0.16666666666666666
833	2	4	4	5	2	6	6	2	1	0.5
833	2	1	4	3	6	5	6	2	1	0.6666666666666666
833	2	4	5	1	6	2	4	1	0	0.5
833	1	2	2	6	5	1	1	2	1	0.6666666666666666
833	2	6	2	3	4	5	5	2	0	0.5
57	1	4	3	1	3	6	2	2	1	0.5
57	1	1	2	5	2	5	5	2	0	0.5
57	2	4	6	5	4	2	3	2	1	0.5
57	1	5	5	5	3	2	6	2	0	0.3333333333333333
57	2	2	6	2	1	4	3	2	1	0.5
57	2	6	6	6	6	4	5	2	0	0.3333333333333333
57	1	6	5	1	2	3	5	1	1	0.5
57	1	2	3	3	6	3	2	1	0	0.5
86	2	1	5	6	3	5	1	2	1	0.6666666666666666
86	2	5	2	5	6	5	2	1	0	0.3333333333333333
86	2	3	1	5	5	2	2	1	1	0.8333333333333334
86	1	3	1	2	1	1	1	2	0	0.6666666666666666
86	2	6	6	2	2	3	5	2	1	0.8333333333333334
86	1	6	1	1	4	6	4	2	0	0.5
86	1	4	3	4	6	1	5	2	0	0.6666666666666666
86	1	6	3	4	5	1	1	2	1	0.5
86	2	5	5	2	6	3	6	1	0	0.8333333333333334
86	1	6	3	1	5	1	6	1	1	0.6666666666666666
811	1	3	3	5	4	3	1	2	0	0.16666666666666666
811	2	5	1	3	4	6	4	2	1	0.3333333333333333
811	1	4	1	3	2	2	5	1	0	0.3333333333333333
811	2	1	2	6	4	6	6	1	1	0.5
811	2	1	2	4	5	1	1	2	1	0.8333333333333334
811	1	6	3	3	6	5	2	1	0	0.5
811	2	4	1	6	1	5	1	1	0	0.5
811	1	2	5	2	1	4	4	2	1	0.5
811	2	3	5	4	1	1	6	2	0	0.6666666666666666
811	1	1	2	1	2	2	1	1	1	0.6666666666666666
633	2	5	3	1	3	1	1	2	1	0.6666666666666666
633	1	5	2	6	2	4	3	1	0	0.3333333333333333
633	2	6	5	3	5	6	1	2	1	0.8333333333333334
633	1	1	2	6	4	5	4	2	0	0.16666666666666666
633	1	3	6	5	3	3	4	2	0	0.8333333333333334
633	1	1	6	1	6	3	6	1	1	0.6666666666666666
633	2	1	1	2	4	2	2	2	1	0.8333333333333334
633	2	2	1	5	3	3	4	1	0	0.5
633	2	4	6	6	5	3	6	2	1	0.8333333333333334
633	2	2	4	3	6	3	6	1	0	0.5
895	1	6	6	5	5	6	2	2	1	0.6666666666666666
895	1	6	6	3	1	2	5	2	0	0.3333333333333333
895	1	6	2	5	3	2	3	2	0	0.3333333333333333
