"","green","Amt_Issued","YAS_Yield_Spread","BVALMidYTM","X260D_volatility","ecological_index","women_on_board","independent_directors","independence_num","ESG_Reporting","government_dummy","Cpn","mty_years_frm","years_to_maturity","call_ext_sink","perpetual","comp_return","roe","roe_bit","roc","solvency","country_risk_num","rep_risk_num","crs_rating","crif_rating","crif_peer_rating","ecological_risk","stability","number_of_former_directors","number_of_executors"
"691",0,47.2646,68,3.841,18.5359382629395,0.887174541947927,0,0,1,0,0,4.88,11.41409993,15.0109589041096,0,0,63353,60.77,71.21,0.04,1.11,4,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,18,11,6
"692",0,73.6107,58.4,3.592,0.881951219512195,0.887174541947927,0,0,6,0,0,3.84,6.592744695,7.0027397260274,0,0,2635,23.11,31.4,0.806611570247934,14.87,4,0.85375,4,663,560,0.876712328767123,18,8,4
"693",0,4.90204,213.9296,0.936030617823947,0.881951219512195,0.38,0,0,1,0,0,19.5,0.188911704,0.252054794520548,0,0,112978,23.31,29.9,0.806611570247934,0.25,1,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.38,0.929940119760479,11,0
"694",0,18.1833,177.0702,0.936030617823947,0.881951219512195,0.38,0,0,1,0,0,19.25,0.262833676,0.345205479452055,0,0,112978,23.31,29.9,0.806611570247934,0.25,1,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.38,0.929940119760479,11,0
"695",0,6.315907,0.935587761674718,0.936030617823947,0.881951219512195,0.38,0,0,1,0,0,17.5,0.186173854,0.345205479452055,0,0,112978,23.31,29.9,0.806611570247934,0.25,1,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.38,0.929940119760479,11,0
"696",0,17.402564,220.978,0.936030617823947,0.881951219512195,0.38,0,0,1,0,0,17.75,0.169746749,0.30958904109589,0,0,112978,23.31,29.9,0.806611570247934,0.25,1,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.38,0.929940119760479,11,0
"697",0,10.08632,218.159,0.936030617823947,0.881951219512195,0.38,0,0,1,0,0,19.75,0.167008898,0.268493150684932,0,0,112978,23.31,29.9,0.806611570247934,0.25,1,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.38,0.929940119760479,11,0
"698",0,20.90055,16.9466,0.936030617823947,0.881951219512195,0.38,0,0,1,0,0,17.7,0.147843943,0.326027397260274,0,0,112978,23.31,29.9,0.806611570247934,0.25,1,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.38,0.929940119760479,11,0
"699",0,14.78988,196.5519,0.936030617823947,0.881951219512195,0.38,0,0,1,0,0,19.4,0.301163587,0.36986301369863,0,0,112978,23.31,29.9,0.806611570247934,0.25,1,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.38,0.929940119760479,11,0
"700",0,13.9865,17.1181,0.936030617823947,0.881951219512195,0.38,0,0,1,0,0,17.75,0.07118412,0.306849315068493,0,0,112978,23.31,29.9,0.806611570247934,0.25,1,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.38,0.929940119760479,11,0
